name,pokedex_number,abilities,,,typing,,hp,attack,defense,special_attack,special_defense,speed,height,weight,genus,gen_introduced,female_rate,genderless,baby_pokemon,legendary,mythical,is_default,forms_switchable,base_experience,capture_rate,egg_groups,,egg_cycles,base_happiness,can_evolve,evolves_from,primary_color,shape
Charizard Mega Y,6,Drought,,,Fire,Flying,78,104,78,159,115,100,17,1005,Flame Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,285,45,Monster,Dragon,20,70,FALSE,Charmeleon,Red,Upright
Squirtle,7,Torrent,Rain Dish,,Water,,44,48,65,50,64,43,5,90,Tiny Turtle Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,63,45,Monster,Water 1,20,70,TRUE,,Blue,Upright
Wartortle,8,Torrent,Rain Dish,,Water,,59,63,80,65,80,58,10,225,Turtle Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,45,Monster,Water 1,20,70,TRUE,Squirtle,Blue,Upright
Blastoise,9,Torrent,Rain Dish,,Water,,79,83,100,85,105,78,16,855,Shellfish Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,239,45,Monster,Water 1,20,70,FALSE,Wartortle,Blue,Upright
Blastoise Gmax,9,Torrent,Rain Dish,,Water,,79,83,100,85,105,78,250,10000,Shellfish Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,239,45,Monster,Water 1,20,70,FALSE,Wartortle,Blue,Upright
Blastoise Mega,9,Mega Launcher,,,Water,,79,103,120,135,115,78,16,1011,Shellfish Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,284,45,Monster,Water 1,20,70,FALSE,Wartortle,Blue,Upright
Caterpie,10,Shield Dust,Run Away,,Bug,,45,30,35,20,20,45,3,29,Worm Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,39,255,Bug,,15,70,TRUE,,Green,Armor
Metapod,11,Shed Skin,,,Bug,,50,20,55,25,25,30,7,99,Cocoon Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,72,120,Bug,,15,70,TRUE,Caterpie,Green,Squiggle
Butterfree,12,Compound Eyes,Tinted Lens,,Bug,Flying,60,45,50,90,80,70,11,320,Butterfly Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,178,45,Bug,,15,70,FALSE,Metapod,White,Bug-Wings
Butterfree Gmax,12,Compound Eyes,Tinted Lens,,Bug,Flying,60,45,50,90,80,70,170,10000,Butterfly Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,178,45,Bug,,15,70,FALSE,Metapod,White,Bug-Wings
Weedle,13,Shield Dust,Run Away,,Bug,Poison,40,35,30,20,20,50,3,32,Hairy Bug Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,39,255,Bug,,15,70,TRUE,,Brown,Armor
Kakuna,14,Shed Skin,,,Bug,Poison,45,25,50,25,25,35,6,100,Cocoon Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,72,120,Bug,,15,70,TRUE,Weedle,Yellow,Squiggle
Beedrill,15,Swarm,Sniper,,Bug,Poison,65,90,40,45,80,75,10,295,Poison Bee Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,178,45,Bug,,15,70,FALSE,Kakuna,Yellow,Bug-Wings
Beedrill Mega,15,Adaptability,,,Bug,Poison,65,150,40,15,80,145,14,405,Poison Bee Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,223,45,Bug,,15,70,FALSE,Kakuna,Yellow,Bug-Wings
Pidgey,16,Keen Eye,Tangled Feet,Big Pecks,Normal,Flying,40,45,40,35,35,56,3,18,Tiny Bird Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,50,255,Flying,,15,70,TRUE,,Brown,Wings
Pidgeotto,17,Keen Eye,Tangled Feet,Big Pecks,Normal,Flying,63,60,55,50,50,71,11,300,Bird Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,122,120,Flying,,15,70,TRUE,Pidgey,Brown,Wings
Pidgeot,18,Keen Eye,Tangled Feet,Big Pecks,Normal,Flying,83,80,75,70,70,101,15,395,Bird Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,216,45,Flying,,15,70,FALSE,Pidgeotto,Brown,Wings
Pidgeot Mega,18,No Guard,,,Normal,Flying,83,80,80,135,80,121,22,505,Bird Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,261,45,Flying,,15,70,FALSE,Pidgeotto,Brown,Wings
Rattata,19,Run Away,Guts,Hustle,Normal,,30,56,35,25,35,72,3,35,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,51,255,Field,,15,70,TRUE,,Purple,Quadruped
Rattata Alola,19,Gluttony,Hustle,Thick Fat,Dark,Normal,30,56,35,25,35,72,3,38,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,255,Field,,15,70,TRUE,,Purple,Quadruped
Raticate,20,Run Away,Guts,Hustle,Normal,,55,81,60,50,70,97,7,185,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,145,127,Field,,15,70,FALSE,Rattata,Brown,Quadruped
Raticate Alola,20,Gluttony,Hustle,Thick Fat,Dark,Normal,75,71,70,40,80,77,7,255,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,145,127,Field,,15,70,FALSE,Rattata,Brown,Quadruped
Raticate Totem Alola,20,Gluttony,Hustle,Thick Fat,Dark,Normal,75,71,70,40,80,77,14,1050,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,145,127,Field,,15,70,FALSE,Rattata,Brown,Quadruped
Spearow,21,Keen Eye,Sniper,,Normal,Flying,40,60,30,31,31,70,3,20,Tiny Bird Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,52,255,Flying,,15,70,TRUE,,Brown,Wings
Fearow,22,Keen Eye,Sniper,,Normal,Flying,65,90,65,61,61,100,12,380,Beak Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,155,90,Flying,,15,70,FALSE,Spearow,Brown,Wings
Ekans,23,Intimidate,Shed Skin,Unnerve,Poison,,35,60,44,40,54,55,20,69,Snake Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,58,255,Field,Dragon,20,70,TRUE,,Purple,Squiggle
Arbok,24,Intimidate,Shed Skin,Unnerve,Poison,,60,95,69,65,79,80,35,650,Cobra Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,157,90,Field,Dragon,20,70,FALSE,Ekans,Purple,Squiggle
Pikachu,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Alola Cap,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Belle,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Cosplay,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Gmax,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,210,10000,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Hoenn Cap,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Kalos Cap,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Libre,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Original Cap,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Partner Cap,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Phd,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Pop Star,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Rock Star,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Sinnoh Cap,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Pikachu Unova Cap,25,Static,Lightning Rod,,Electric,,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112,190,Field,Fairy,10,70,TRUE,Pichu,Yellow,Quadruped
Raichu,26,Static,Lightning Rod,,Electric,,60,90,55,90,80,110,8,300,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,218,75,Field,Fairy,10,70,FALSE,Pikachu,Yellow,Upright
Raichu Alola,26,Surge Surfer,,,Electric,Psychic,60,85,50,95,85,110,7,210,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,218,75,Field,Fairy,10,70,FALSE,Pikachu,Yellow,Upright
Sandshrew,27,Sand Veil,Sand Rush,,Ground,,50,75,85,20,30,40,6,120,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,255,Field,,20,70,TRUE,,Yellow,Upright
Sandshrew Alola,27,Snow Cloak,Slush Rush,,Ice,Steel,50,75,90,10,35,40,7,400,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,255,Field,,20,70,TRUE,,Yellow,Upright
Sandslash,28,Sand Veil,Sand Rush,,Ground,,75,100,110,45,55,65,10,295,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,158,90,Field,,20,70,FALSE,Sandshrew,Yellow,Upright
Sandslash Alola,28,Snow Cloak,Slush Rush,,Ice,Steel,75,100,120,25,65,65,12,550,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,158,90,Field,,20,70,FALSE,Sandshrew,Yellow,Upright
Nidoran F,29,Poison Point,Rivalry,Hustle,Poison,,55,47,52,40,40,41,4,70,Poison Pin Pokémon,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,55,235,Monster,Field,20,70,FALSE,,Blue,Quadruped
Nidorina,30,Poison Point,Rivalry,Hustle,Poison,,70,62,67,55,55,56,8,200,Poison Pin Pokémon,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,128,120,Undiscovered,,20,70,TRUE,Nidoran F,Blue,Quadruped
Nidoqueen,31,Poison Point,Rivalry,Sheer Force,Poison,Ground,90,92,87,75,85,76,13,600,Drill Pokémon,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,227,45,Undiscovered,,20,70,FALSE,Nidorina,Blue,Upright
Nidoran M,32,Poison Point,Rivalry,Hustle,Poison,,46,57,40,40,40,50,5,90,Poison Pin Pokémon,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,55,235,Monster,Field,20,70,FALSE,,Purple,Quadruped
Nidorino,33,Poison Point,Rivalry,Hustle,Poison,,61,72,57,55,55,65,9,195,Poison Pin Pokémon,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,128,120,Monster,Field,20,70,TRUE,Nidoran M,Purple,Quadruped
Nidoking,34,Poison Point,Rivalry,Sheer Force,Poison,Ground,81,102,77,85,75,85,14,620,Drill Pokémon,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,227,45,Monster,Field,20,70,FALSE,Nidorino,Purple,Upright
Clefairy,35,Cute Charm,Magic Guard,Friend Guard,Fairy,,70,45,48,60,65,35,6,75,Fairy Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,113,150,Fairy,,10,140,TRUE,Cleffa,Pink,Upright
Clefable,36,Cute Charm,Magic Guard,Unaware,Fairy,,95,70,73,95,90,60,13,400,Fairy Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,217,25,Fairy,,10,140,FALSE,Clefairy,Pink,Upright
Vulpix,37,Flash Fire,Drought,,Fire,,38,41,40,50,65,65,6,99,Fox Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,190,Field,,20,70,TRUE,,Brown,Quadruped
Vulpix Alola,37,Snow Cloak,Snow Warning,,Ice,,38,41,40,50,65,65,6,99,Fox Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,190,Field,,20,70,TRUE,,Brown,Quadruped
Ninetales,38,Flash Fire,Drought,,Fire,,73,76,75,81,100,100,11,199,Fox Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,177,75,Field,,20,70,FALSE,Vulpix,Yellow,Quadruped
Ninetales Alola,38,Snow Cloak,Snow Warning,,Ice,Fairy,73,67,75,81,100,109,11,199,Fox Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,177,75,Field,,20,70,FALSE,Vulpix,Yellow,Quadruped
Jigglypuff,39,Cute Charm,Competitive,Friend Guard,Normal,Fairy,115,45,20,45,25,20,5,55,Balloon Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,95,170,Fairy,,10,70,TRUE,Igglybuff,Pink,Humanoid
Wigglytuff,40,Cute Charm,Competitive,Frisk,Normal,Fairy,140,70,45,85,50,45,10,120,Balloon Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,196,50,Fairy,,10,70,FALSE,Jigglypuff,Pink,Humanoid
Zubat,41,Inner Focus,Infiltrator,,Poison,Flying,40,45,35,30,40,55,8,75,Bat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,49,255,Flying,,15,70,TRUE,,Purple,Wings
Golbat,42,Inner Focus,Infiltrator,,Poison,Flying,75,80,70,65,75,90,16,550,Bat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,90,Flying,,15,70,TRUE,Zubat,Purple,Wings
Oddish,43,Chlorophyll,Run Away,,Grass,Poison,45,50,55,75,65,30,5,54,Weed Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,255,Grass,,20,70,TRUE,,Blue,Legs
Gloom,44,Chlorophyll,Stench,,Grass,Poison,60,65,70,85,75,40,8,86,Weed Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,138,120,Grass,,20,70,TRUE,Oddish,Blue,Humanoid
Vileplume,45,Chlorophyll,Effect Spore,,Grass,Poison,75,80,85,110,90,50,12,186,Flower Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,221,45,Grass,,20,70,FALSE,Gloom,Red,Humanoid
Paras,46,Effect Spore,Dry Skin,Damp,Bug,Grass,35,70,55,45,55,25,3,54,Mushroom Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,57,190,Bug,Grass,20,70,TRUE,,Red,Armor
Parasect,47,Effect Spore,Dry Skin,Damp,Bug,Grass,60,95,80,60,80,30,10,295,Mushroom Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,75,Bug,Grass,20,70,FALSE,Paras,Red,Armor
Venonat,48,Compound Eyes,Tinted Lens,Run Away,Bug,Poison,60,55,50,40,55,45,10,300,Insect Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,61,190,Bug,,20,70,TRUE,,Purple,Humanoid
Venomoth,49,Shield Dust,Tinted Lens,Wonder Skin,Bug,Poison,70,65,60,90,75,90,15,125,Poison Moth Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,158,75,Bug,,20,70,FALSE,Venonat,Purple,Bug-Wings
Diglett,50,Sand Veil,Arena Trap,Sand Force,Ground,,10,55,25,35,45,95,2,8,Mole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,53,255,Field,,20,70,TRUE,,Brown,Blob
Diglett Alola,50,Sand Veil,Tangling Hair,Sand Force,Ground,Steel,10,55,30,35,45,90,2,10,Mole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,255,Field,,20,70,TRUE,,Brown,Blob
Dugtrio,51,Sand Veil,Arena Trap,Sand Force,Ground,,35,100,50,50,70,120,7,333,Mole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,149,50,Field,,20,70,FALSE,Diglett,Brown,Heads
Dugtrio Alola,51,Sand Veil,Tangling Hair,Sand Force,Ground,Steel,35,100,60,50,70,110,7,666,Mole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,149,50,Field,,20,70,FALSE,Diglett,Brown,Heads
Meowth,52,Pickup,Technician,Unnerve,Normal,,40,45,35,40,40,90,4,42,Scratch Cat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,58,255,Field,,20,70,TRUE,,Yellow,Quadruped
Meowth Alola,52,Pickup,Technician,Rattled,Dark,,40,35,35,50,40,90,4,42,Scratch Cat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,255,Field,,20,70,TRUE,,Yellow,Quadruped
Meowth Galar,52,Pickup,Tough Claws,Unnerve,Steel,,50,65,55,40,40,40,4,75,Scratch Cat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,255,Field,,20,70,TRUE,,Yellow,Quadruped
Meowth Gmax,52,Pickup,Technician,Unnerve,Normal,,40,45,35,40,40,90,330,10000,Scratch Cat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,255,Field,,20,70,TRUE,,Yellow,Quadruped
Persian,53,Limber,Technician,Unnerve,Normal,,65,70,60,65,65,115,10,320,Classy Cat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,154,90,Field,,20,70,FALSE,Meowth,Yellow,Quadruped
Persian Alola,53,Fur Coat,Technician,Rattled,Dark,,65,60,60,75,65,115,11,330,Classy Cat Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,154,90,Field,,20,70,FALSE,Meowth,Yellow,Quadruped
Psyduck,54,Damp,Cloud Nine,Swift Swim,Water,,50,52,48,65,50,55,8,196,Duck Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,190,Water 1,Field,20,70,TRUE,,Yellow,Upright
Golduck,55,Damp,Cloud Nine,Swift Swim,Water,,80,82,78,95,80,85,17,766,Duck Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,175,75,Water 1,Field,20,70,FALSE,Psyduck,Blue,Upright
Mankey,56,Vital Spirit,Anger Point,Defiant,Fighting,,40,80,35,35,45,70,5,280,Pig Monkey Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,61,190,Field,,20,70,TRUE,,Brown,Upright
Primeape,57,Vital Spirit,Anger Point,Defiant,Fighting,,65,105,60,60,70,95,10,320,Pig Monkey Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,75,Field,,20,70,FALSE,Mankey,Brown,Upright
Growlithe,58,Intimidate,Flash Fire,Justified,Fire,,55,70,45,70,50,60,7,190,Puppy Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,70,190,Field,,20,70,TRUE,,Brown,Quadruped
Arcanine,59,Intimidate,Flash Fire,Justified,Fire,,90,110,80,100,80,95,19,1550,Legendary Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,194,75,Field,,20,70,FALSE,Growlithe,Brown,Quadruped
Poliwag,60,Water Absorb,Damp,Swift Swim,Water,,40,50,40,40,40,90,6,124,Tadpole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,255,Water 1,,20,70,TRUE,,Blue,Legs
Poliwhirl,61,Water Absorb,Damp,Swift Swim,Water,,65,65,65,50,50,90,10,200,Tadpole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,135,120,Water 1,,20,70,TRUE,Poliwag,Blue,Humanoid
Poliwrath,62,Water Absorb,Damp,Swift Swim,Water,Fighting,90,95,95,70,90,70,13,540,Tadpole Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,230,45,Water 1,,20,70,FALSE,Poliwhirl,Blue,Humanoid
Abra,63,Synchronize,Inner Focus,Magic Guard,Psychic,,25,20,15,105,55,90,9,195,Psi Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,62,200,Human-Like,,20,70,TRUE,,Brown,Upright
Kadabra,64,Synchronize,Inner Focus,Magic Guard,Psychic,,40,35,30,120,70,105,13,565,Psi Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,140,100,Human-Like,,20,70,TRUE,Abra,Brown,Upright
Alakazam,65,Synchronize,Inner Focus,Magic Guard,Psychic,,55,50,45,135,95,120,15,480,Psi Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,225,50,Human-Like,,20,70,FALSE,Kadabra,Brown,Humanoid
Alakazam Mega,65,Trace,,,Psychic,,55,50,65,175,105,150,12,480,Psi Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,270,50,Human-Like,,20,70,FALSE,Kadabra,Brown,Humanoid
Machop,66,Guts,No Guard,Steadfast,Fighting,,70,80,50,35,35,35,8,195,Superpower Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,61,180,Human-Like,,20,70,TRUE,,Gray,Upright
Machoke,67,Guts,No Guard,Steadfast,Fighting,,80,100,70,50,60,45,15,705,Superpower Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,90,Human-Like,,20,70,TRUE,Machop,Gray,Humanoid
Machamp,68,Guts,No Guard,Steadfast,Fighting,,90,130,80,65,85,55,16,1300,Superpower Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,227,45,Human-Like,,20,70,FALSE,Machoke,Gray,Humanoid
Machamp Gmax,68,Guts,No Guard,Steadfast,Fighting,,90,130,80,65,85,55,250,10000,Superpower Pokémon,1,0.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,227,45,Human-Like,,20,70,FALSE,Machoke,Gray,Humanoid
